tipo,n,erro_real,erro_estimado
float,10,4.59824468429662481441e-312,4.59824468429662481441e-312
float,100,1.34902151699581804280e-312,1.34902151699581804280e-312
float,1000,3.39730696865301936501e-312,3.39730696865301936501e-312
float,10000,5.19868235499527621794e-313,5.19868235499527621794e-313
float,100000,4.94493398470405998617e-313,4.94493398470405998617e-313
float,1000000,2.15220935989582690459e-312,2.15220935989582690459e-312
float,10000000,3.47656060522021961223e-312,3.47656060522021961223e-312
double,10,6.28620517889285747913e-313,6.28620517889285747913e-313
double,100,3.48418652538058696624e-312,3.48418652538058696624e-312
double,1000,1.06639612676784357175e-312,1.06639612676784357175e-312
double,10000,4.07598297054236423410e-312,4.07598297054236423410e-312
double,100000,4.33382399131777386587e-313,4.33382399131777386587e-313
double,1000000,1.20028494559860305097e-312,1.20028494559860305097e-312
double,10000000,2.88794508496159778504e-312,2.88794508496159778504e-312
longdouble,10,2.66262808937085357154e-312,2.66262808937085357154e-312
longdouble,100,6.16207671337694247344e-313,6.16207671337694247344e-313
longdouble,1000,2.02569779419145871994e-312,2.02569779419145871994e-312
longdouble,10000,4.09309985136453473025e-312,4.09309985136453473025e-312
longdouble,100000,4.52667912458910938674e-312,4.52667912458910938674e-312
longdouble,1000000,3.89887714351595510227e-312,3.89887714351595510227e-312
longdouble,10000000,5.10159697180952368158e-313,5.10159697180952368158e-313
